Num,linear_x,linear_y,orientation_z,orientation_w,missionType,Points,which_VL53,VL53_right,VL53_left,VL53_x_offset,VL53_y_offset,mission name,
1,0.86,0.14,0.7017,0.7124,F,2,-1,,,,,,-1 nothing
2,1.4733,0.1786,0.5962,0.8028,W,1,1,0.082,0.07,-0.03,0.03,,1 vl53
3,1.368,0.297,0.6069,0.7948,w,0,-1,,,,,,0 switch
4,1.2973,0.2933,0.6945,0.7629,d,0,-1,,,,,,
5,1.4422,0.2004,0.6486,0.7612,s,5,-1,,,,,,
6,1.6844,0.3871,0.5582,0.8297,W,1,1,0.078,0.07,-0.03,0.03,,
7,1.5777,0.4802,0.5932,0.805,w,0,-1,,,,,,
8,1.6074,0.5898,0.5018,0.8648,d,0,-1,,,,,,
9,1.669,0.4849,0.4572,0.8898,s,5,-1,,,,,,
10,1.854,0.6556,0.8563,0.5164,D,5,0,,,-0.05,,,
11,1.854,0.8555,0.8534,0.5206,P,5,0,,,-0.05,,,
12,1.854,1.029,0.8588,0.5125,P,5,0,,,-0.05,,,
13,1.862,1.2514,0.8591,0.5121,D,5,0,,,-0.05,,,
14,1.862,1.4009,0.8567,0.516,D,5,0,,,-0.05,,,
15,1.854,1.5753,0.8607,0.5097,P,10,0,,,-0.05,,,
16,1.854,1.7743,0.855,0.5187,P,10,0,,,-0.05,,,
17,1.5462,0.3317,0.5984,0.8011,R,3,-1,,,,,,
18,1.5749,0.2714,0.5922,0.8056,B,3,-1,,,,,,
19,1.685,0.396,0.5917,0.8063,f,5,-1,,,,,,
20,0.1045,0.2877,-0.513,0.8583,r,12,-1,,,,,,
21,0.3835,0.1102,0.2517,0.9678,G,1,0,,,,0.05,,
22,1.3311,0.2129,0.2293,0.9735,C,1,-1,,,,,,
23,1.1602,0.2122,0.243,0.9697,H,1,-1,,,,,,
24,1.1209,0.184,0.2548,0.9669,S,1,-1,,,,,,
25,0.8517,0.355,0.2496,0.9683,@,14,-1,,,,,home,
26,0.8114,0.6765,0.0328,-0.9994,Z,1,-1,,,,,push into triangle area,
27,0.1135,0.1102,0.2517,0.9678,E,1,-1,,,,,new G,
28,0.7171,0.3572,0.2496,0.9683,e,14,-1,,,,,home for new G,
29,0.6974,1.0599,0.2587,0.9659,X,0,-1,,,,,,
101,0.8362,2.8291,-0.9631,-0.2688,F,2,-1,,,,,start purple,
102,1.5809,2.688,0.9865,0.1633,W,1,1,0.084,0.073,-0.06,-0.06,,
103,1.457,2.6354,0.9677,0.2518,w,0,-1,0,0,0,0,,
104,1.3799,2.574,0.9682,0.25,d,0,-1,0,0,0,0,,
105,1.5332,2.6722,0.9577,0.2874,s,5,-1,0,0,0,0,,
106,1.7985,2.497,0.9878,0.1556,W,1,1,0.084,0.073,-0.06,-0.06,,
107,1.7084,2.4038,0.993,0.116,w,0,-1,0,0,0,0,,
108,1.694,2.3184,0.9968,0.0795,d,0,-1,0,0,0,0,,
109,1.7841,2.4435,0.997,0.0772,s,5,-1,0,0,0,0,,
110,1.8587,2.3359,0.8595,0.5109,D,5,0,,,-0.05,,,
111,1.8587,2.1484,0.858,0.5136,P,5,0,,,-0.05,,,
112,1.8587,1.9615,0.8594,0.5111,P,5,0,,,-0.05,,,
113,1.8587,1.7896,0.859,0.5119,D,5,0,,,-0.05,,,
114,1.8587,1.5879,0.8555,0.5176,D,5,0,,,-0.05,,,
115,1.8587,1.4007,0.8537,0.5206,P,10,0,,,-0.05,,,
116,1.8587,1.2165,0.8472,0.5312,P,10,0,,,-0.05,,,
117,1.658,2.5478,0.991,0.1337,R,3,-1,,,,,,
118,1.7057,2.5899,0.9891,0.1466,B,3,-1,,,,,,
119,1.624,2.706,0.9899,0.1413,f,5,-1,,,,,,
120,0.1543,2.8616,0.5181,-0.8553,r,12,-1,,,,,,
121,0.2303,2.8832,0.9708,-0.239,G,1,0,,,,-0.05,,
122,0.804,2.5966,0.9693,-0.2458,@,14,-1,,,,,home,
